Time,Open,High,Low,Close
2025-02-27 05:20:00,2891.91,2892.87,2890.82,2891.88
2025-02-27 05:25:00,2891.95,2894.01,2890.97,2893.9
2025-02-27 05:30:00,2893.87,2893.87,2891.91,2892.76
2025-02-27 05:35:00,2892.59,2892.73,2888.76,2890.79
2025-02-27 05:40:00,2890.78,2893.46,2889.7,2893.33
2025-02-27 05:45:00,2893.3,2894.72,2891.31,2892.09
2025-02-27 05:50:00,2892.01,2892.03,2890.16,2891.49
2025-02-27 05:55:00,2891.44,2891.6,2890.15,2890.86
2025-02-27 06:00:00,2890.87,2892.54,2890.76,2892.27
2025-02-27 06:05:00,2892.32,2895.91,2891.75,2894.96
2025-02-27 06:10:00,2894.95,2895.16,2893.9,2894.69
2025-02-27 06:15:00,2894.4,2895.43,2892.46,2894.94
2025-02-27 06:20:00,2895.02,2896.62,2894.88,2895.58
2025-02-27 06:25:00,2895.64,2895.8,2894.06,2895.27
2025-02-27 06:30:00,2895.38,2897.92,2895.25,2897.17
2025-02-27 06:35:00,2897.13,2897.69,2895.57,2897.62
2025-02-27 06:40:00,2897.63,2898.37,2896.95,2897.37
2025-02-27 06:45:00,2897.3,2897.81,2896.51,2896.65
2025-02-27 06:50:00,2896.63,2896.7,2894.19,2894.44
2025-02-27 06:55:00,2894.43,2895.48,2893.32,2894.2
2025-02-27 07:00:00,2894.22,2894.22,2892.52,2893.31
2025-02-27 07:05:00,2893.31,2894.56,2890.09,2891.32
2025-02-27 07:10:00,2891.31,2895.17,2891.3,2894.04
2025-02-27 07:15:00,2894.07,2894.2,2891.76,2892.48
2025-02-27 07:20:00,2892.39,2896.71,2892.07,2895.96
2025-02-27 07:25:00,2895.91,2896.45,2892.07,2892.07
2025-02-27 07:30:00,2892.06,2892.85,2889.41,2892.81
2025-02-27 07:35:00,2892.91,2892.92,2890.73,2890.97
2025-02-27 07:40:00,2890.89,2891.54,2888.06,2890.36
2025-02-27 07:45:00,2890.4,2894.17,2890.32,2893.59
2025-02-27 07:50:00,2893.58,2893.63,2892.26,2893.16
2025-02-27 07:55:00,2893.17,2893.24,2891.61,2892.05
2025-02-27 08:00:00,2891.93,2892.2,2889,2889
2025-02-27 08:05:00,2888.91,2891.47,2886.38,2888.17
2025-02-27 08:10:00,2888.21,2888.26,2884.15,2885.34
2025-02-27 08:15:00,2885.17,2889.07,2885,2888.46
2025-02-27 08:20:00,2888.48,2888.61,2884.91,2884.93
2025-02-27 08:25:00,2884.94,2885.27,2880.68,2882.34
2025-02-27 08:30:00,2882.43,2882.82,2881.36,2882.42
2025-02-27 08:35:00,2882.35,2884.87,2881.05,2883.22
2025-02-27 08:40:00,2883.19,2885.72,2881.63,2884
2025-02-27 08:45:00,2883.98,2885.2,2883.52,2884.52
2025-02-27 08:50:00,2884.51,2884.77,2881.41,2882.18
2025-02-27 08:55:00,2882.2,2883.04,2880.85,2881.4
2025-02-27 09:00:00,2881.38,2882.33,2879.84,2880.28
2025-02-27 09:05:00,2880.3,2881.66,2876.98,2879.76
2025-02-27 09:10:00,2879.8,2888.87,2878.78,2886.92
2025-02-27 09:15:00,2886.7,2888.4,2886.18,2887.27
2025-02-27 09:20:00,2887.26,2887.56,2885.69,2886.71
2025-02-27 09:25:00,2886.7,2893.42,2885.83,2890.89
2025-02-27 09:30:00,2890.88,2892.02,2888.84,2889.08
2025-02-27 09:35:00,2889.06,2889.38,2887.18,2888.04
2025-02-27 09:40:00,2888.19,2889.98,2885.88,2886.03
